"struc","comp","ele_comb","reward","RL_step","cif"
"Full Formula (Ba6 Mg3 Cu1)
Reduced Formula: Ba6Mg3Cu
abc   :   4.496459   9.912021  10.747186
angles:  94.261385  89.912713 103.131014
pbc   :       True       True       True
Sites (10)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Mg    0.984542  0.477102  0.140231
  1  Ba    0.7058    0.919563  0.680104
  2  Ba    0.825505  0.160418  0.351723
  3  Ba    0.520723  0.548734  0.417782
  4  Ba    0.340697  0.188061  0.987956
  5  Ba    0.005007  0.519437  0.779891
  6  Mg    0.361239  0.230107  0.629628
  7  Cu    0.173275  0.854314  0.884356
  8  Mg    0.172544  0.854402  0.384664
  9  Ba    0.638541  0.789183  0.088477","Ba6Mg3Cu","('Ba', 'Cu', 'Mg')","0.8468018237548822","0","# generated using pymatgen
data_Ba6Mg3Cu
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.49645850
_cell_length_b   9.91202114
_cell_length_c   10.74718571
_cell_angle_alpha   94.26138492
_cell_angle_beta   89.91271268
_cell_angle_gamma   103.13101380
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ba6Mg3Cu
_chemical_formula_sum   'Ba6 Mg3 Cu1'
_cell_volume   465.11937165
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Mg  Mg0  1  0.98454207  0.47710225  0.14023064  1
  Ba  Ba1  1  0.70580006  0.91956323  0.68010372  1
  Ba  Ba2  1  0.82550466  0.16041802  0.35172349  1
  Ba  Ba3  1  0.52072293  0.54873407  0.41778171  1
  Ba  Ba4  1  0.34069708  0.18806088  0.98795611  1
  Ba  Ba5  1  0.00500722  0.51943713  0.77989113  1
  Mg  Mg6  1  0.36123863  0.23010732  0.62962788  1
  Cu  Cu7  1  0.17327453  0.85431445  0.88435620  1
  Mg  Mg8  1  0.17254445  0.85440236  0.38466424  1
  Ba  Ba9  1  0.63854110  0.78918278  0.08847713  1
"
"Full Formula (Tm4 Hg1 Sb3)
Reduced Formula: Tm4HgSb3
abc   :   4.329223   7.480159   7.510685
angles: 109.357947  90.160635  89.974574
pbc   :       True       True       True
Sites (8)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Tm    0.1447    0.932253  0.157935
  1  Tm    0.645016  0.935611  0.667749
  2  Tm    0.144796  0.444354  0.671228
  3  Tm    0.645403  0.440495  0.161288
  4  Sb    0.144915  0.687962  0.414687
  5  Sb    0.644526  0.688313  0.914815
  6  Sb    0.144916  0.188491  0.914693
  7  Hg    0.644767  0.188462  0.414822","Tm4HgSb3","('Hg', 'Sb', 'Tm')","0.8158858623730456","0","# generated using pymatgen
data_Tm4HgSb3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   4.32922253
_cell_length_b   7.48015905
_cell_length_c   7.51068497
_cell_angle_alpha   109.35794731
_cell_angle_beta   90.16063491
_cell_angle_gamma   89.97457370
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Tm4HgSb3
_chemical_formula_sum   'Tm4 Hg1 Sb3'
_cell_volume   229.46944633
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Tm  Tm0  1  0.14469975  0.93225271  0.15793505  1
  Tm  Tm1  1  0.64501566  0.93561083  0.66774893  1
  Tm  Tm2  1  0.14479566  0.44435430  0.67122829  1
  Tm  Tm3  1  0.64540255  0.44049534  0.16128820  1
  Sb  Sb4  1  0.14491466  0.68796235  0.41468668  1
  Sb  Sb5  1  0.64452577  0.68831259  0.91481549  1
  Sb  Sb6  1  0.14491647  0.18849097  0.91469342  1
  Hg  Hg7  1  0.64476669  0.18846205  0.41482237  1
"
"Full Formula (Dy6 Cd2 Cu1)
Reduced Formula: Dy6Cd2Cu
abc   :   3.703017   8.762167   8.763004
angles: 119.861337  89.902563  89.971951
pbc   :       True       True       True
Sites (9)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Dy    0.702978  0.447372  0.372056
  1  Dy    0.703096  0.653055  0.974404
  2  Dy    0.202118  0.29955   0.62084
  3  Dy    0.202771  0.050445  0.123804
  4  Dy    0.703179  0.050452  0.76931
  5  Cd    0.203     0.383308  0.037807
  6  Dy    0.203005  0.802256  0.372675
  7  Cu    0.702646  0.050484  0.372324
  8  Cd    0.203353  0.716479  0.705108","Dy6Cd2Cu","('Cd', 'Cu', 'Dy')","0.9746502398003472","0","# generated using pymatgen
data_Dy6Cd2Cu
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.70301687
_cell_length_b   8.76216702
_cell_length_c   8.76300430
_cell_angle_alpha   119.86133721
_cell_angle_beta   89.90256303
_cell_angle_gamma   89.97195091
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Dy6Cd2Cu
_chemical_formula_sum   'Dy6 Cd2 Cu1'
_cell_volume   246.57830230
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Dy  Dy0  1  0.70297837  0.44737169  0.37205562  1
  Dy  Dy1  1  0.70309573  0.65305513  0.97440439  1
  Dy  Dy2  1  0.20211832  0.29955027  0.62083954  1
  Dy  Dy3  1  0.20277116  0.05044472  0.12380404  1
  Dy  Dy4  1  0.70317900  0.05045199  0.76930994  1
  Cd  Cd5  1  0.20300038  0.38330793  0.03780719  1
  Dy  Dy6  1  0.20300502  0.80225629  0.37267506  1
  Cu  Cu7  1  0.70264572  0.05048399  0.37232444  1
  Cd  Cd8  1  0.20335263  0.71647936  0.70510799  1
"
"Full Formula (Na1 Tl2 Ge2 Mo1 O6)
Reduced Formula: NaTl2Ge2MoO6
abc   :   6.085858   6.246397   7.684534
angles:  89.531465  67.511782  60.593702
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  O     0.169493  0.939549  0.619016
  1  Tl    0.695761  0.084733  0.440379
  2  O     0.265643  0.871052  0.02461
  3  O     0.72713   0.470117  0.447303
  4  Mo    0.982826  0.010832  0.91245
  5  Ge    0.404417  0.666595  0.4266
  6  Tl    0.171257  0.387312  0.168702
  7  O     0.753499  0.850194  0.002079
  8  Ge    0.546718  0.714936  0.090861
  9  Na    0.868286  0.519326  0.667651
 10  O     0.256894  0.475058  0.454613
 11  O     0.765526  0.396508  0.959328","NaTl2Ge2MoO6","('Ge', 'Mo', 'Na', 'O', 'Tl')","0.48792034385742333","0","# generated using pymatgen
data_NaTl2Ge2MoO6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.08585844
_cell_length_b   6.24639749
_cell_length_c   7.68453360
_cell_angle_alpha   89.53146518
_cell_angle_beta   67.51178154
_cell_angle_gamma   60.59370158
_symmetry_Int_Tables_number   1
_chemical_formula_structural   NaTl2Ge2MoO6
_chemical_formula_sum   'Na1 Tl2 Ge2 Mo1 O6'
_cell_volume   229.20619074
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  O  O0  1  0.16949265  0.93954927  0.61901599  1
  Tl  Tl1  1  0.69576108  0.08473302  0.44037938  1
  O  O2  1  0.26564279  0.87105221  0.02461024  1
  O  O3  1  0.72713029  0.47011742  0.44730279  1
  Mo  Mo4  1  0.98282641  0.01083185  0.91245013  1
  Ge  Ge5  1  0.40441665  0.66659522  0.42660028  1
  Tl  Tl6  1  0.17125727  0.38731244  0.16870214  1
  O  O7  1  0.75349891  0.85019428  0.00207858  1
  Ge  Ge8  1  0.54671794  0.71493572  0.09086139  1
  Na  Na9  1  0.86828560  0.51932615  0.66765112  1
  O  O10  1  0.25689358  0.47505844  0.45461261  1
  O  O11  1  0.76552647  0.39650837  0.95932835  1
"
"Full Formula (La1 Al1 Tl2 Si1)
Reduced Formula: LaAlTl2Si
abc   :   3.986277   3.977338   9.899573
angles:  90.013444  90.174910 120.114490
pbc   :       True       True       True
Sites (5)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  La    0.715474  0.333712  0.244602
  1  Tl    0.72145   0.333452  0.740762
  2  Tl    0.374229  0.651438  0.980428
  3  Si    0.054404  0.002634  0.433503
  4  Al    0.387725  0.670161  0.532807","LaAlTl2Si","('Al', 'La', 'Si', 'Tl')","0.4797427028658898","0","# generated using pymatgen
data_LaAlTl2Si
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.98627732
_cell_length_b   3.97733842
_cell_length_c   9.89957333
_cell_angle_alpha   90.01344432
_cell_angle_beta   90.17491000
_cell_angle_gamma   120.11449023
_symmetry_Int_Tables_number   1
_chemical_formula_structural   LaAlTl2Si
_chemical_formula_sum   'La1 Al1 Tl2 Si1'
_cell_volume   135.76944427
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  La  La0  1  0.71547371  0.33371180  0.24460201  1
  Tl  Tl1  1  0.72144955  0.33345225  0.74076229  1
  Tl  Tl2  1  0.37422895  0.65143800  0.98042786  1
  Si  Si3  1  0.05440360  0.00263373  0.43350288  1
  Al  Al4  1  0.38772541  0.67016101  0.53280652  1
"
"Full Formula (Rb2 Tl2 Si3 Ag1 Pb1 S10)
Reduced Formula: Rb2Tl2Si3AgPbS10
abc   :   6.558961   7.645479  11.802829
angles:  84.865660  76.766662  65.412891
pbc   :       True       True       True
Sites (19)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  S     0.55189   0.327523  0.932552
  1  S     0.042557  0.773008  0.156741
  2  Si    0.319687  0.491602  0.828558
  3  Pb    0.06093   0.012729  0.353469
  4  Tl    0.464438  0.379552  0.204784
  5  S     0.363461  0.7285    0.750752
  6  Tl    0.718239  0.624211  0.408313
  7  Si    0.900533  0.606696  0.108594
  8  S     0.998178  0.251532  0.551095
  9  S     0.969275  0.552404  0.923389
 10  Ag    0.819514  0.318706  0.752461
 11  S     0.986895  0.334819  0.200803
 12  S     0.253938  0.574288  0.461238
 13  S     0.37059   0.261456  0.707845
 14  S     0.590962  0.077323  0.433763
 15  Rb    0.241806  0.04209   0.967205
 16  Si    0.306528  0.303607  0.533314
 17  S     0.546281  0.758776  0.159703
 18  Rb    0.845665  0.844525  0.680072","Rb2Tl2Si3AgPbS10","('Ag', 'Pb', 'Rb', 'S', 'Si', 'Tl')","0.8375661616344541","0","# generated using pymatgen
data_Rb2Tl2Si3AgPbS10
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.55896078
_cell_length_b   7.64547901
_cell_length_c   11.80282879
_cell_angle_alpha   84.86566045
_cell_angle_beta   76.76666182
_cell_angle_gamma   65.41289067
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Rb2Tl2Si3AgPbS10
_chemical_formula_sum   'Rb2 Tl2 Si3 Ag1 Pb1 S10'
_cell_volume   523.90176755
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  S  S0  1  0.55188996  0.32752332  0.93255192  1
  S  S1  1  0.04255699  0.77300823  0.15674150  1
  Si  Si2  1  0.31968743  0.49160212  0.82855809  1
  Pb  Pb3  1  0.06092974  0.01272888  0.35346857  1
  Tl  Tl4  1  0.46443760  0.37955171  0.20478351  1
  S  S5  1  0.36346135  0.72850049  0.75075167  1
  Tl  Tl6  1  0.71823853  0.62421107  0.40831342  1
  Si  Si7  1  0.90053326  0.60669613  0.10859382  1
  S  S8  1  0.99817818  0.25153232  0.55109495  1
  S  S9  1  0.96927452  0.55240405  0.92338902  1
  Ag  Ag10  1  0.81951416  0.31870577  0.75246108  1
  S  S11  1  0.98689502  0.33481923  0.20080344  1
  S  S12  1  0.25393823  0.57428843  0.46123800  1
  S  S13  1  0.37059012  0.26145604  0.70784467  1
  S  S14  1  0.59096229  0.07732332  0.43376347  1
  Rb  Rb15  1  0.24180596  0.04208999  0.96720475  1
  Si  Si16  1  0.30652845  0.30360687  0.53331393  1
  S  S17  1  0.54628140  0.75877637  0.15970330  1
  Rb  Rb18  1  0.84566468  0.84452516  0.68007237  1
"
"Full Formula (K2 Zr1 Mn2 Ag1 S6)
Reduced Formula: K2ZrMn2AgS6
abc   :   3.857325   9.265930   8.954784
angles:  95.675903 102.468506  90.123602
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  K     0.546266  0.497865  0.703813
  1  S     0.68467   0.960099  0.978643
  2  K     0.824836  0.759023  0.264768
  3  S     0.191468  0.600621  0.998039
  4  Mn    0.147872  0.822164  0.908836
  5  Zr    0.53663   0.002407  0.684376
  6  Ag    0.299779  0.443029  0.211786
  7  S     0.057906  0.195216  0.724526
  8  S     0.388749  0.029326  0.389662
  9  S     0.883256  0.410552  0.380582
 10  Mn    0.919407  0.176635  0.449112
 11  S     0.011132  0.801514  0.637311","K2ZrMn2AgS6","('Ag', 'K', 'Mn', 'S', 'Zr')","0.8835652331456245","0","# generated using pymatgen
data_K2ZrMn2AgS6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   3.85732547
_cell_length_b   9.26593041
_cell_length_c   8.95478439
_cell_angle_alpha   95.67590318
_cell_angle_beta   102.46850604
_cell_angle_gamma   90.12360165
_symmetry_Int_Tables_number   1
_chemical_formula_structural   K2ZrMn2AgS6
_chemical_formula_sum   'K2 Zr1 Mn2 Ag1 S6'
_cell_volume   310.88743734
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  K  K0  1  0.54626602  0.49786454  0.70381254  1
  S  S1  1  0.68466985  0.96009946  0.97864324  1
  K  K2  1  0.82483602  0.75902319  0.26476771  1
  S  S3  1  0.19146754  0.60062104  0.99803853  1
  Mn  Mn4  1  0.14787166  0.82216364  0.90883595  1
  Zr  Zr5  1  0.53662986  0.00240670  0.68437558  1
  Ag  Ag6  1  0.29977852  0.44302884  0.21178614  1
  S  S7  1  0.05790614  0.19521633  0.72452611  1
  S  S8  1  0.38874876  0.02932616  0.38966161  1
  S  S9  1  0.88325590  0.41055155  0.38058156  1
  Mn  Mn10  1  0.91940731  0.17663491  0.44911152  1
  S  S11  1  0.01113190  0.80151433  0.63731110  1
"
"Full Formula (Cs1 Rb1 Li2 Tl1 Pd4 Br11)
Reduced Formula: CsRbLi2TlPd4Br11
abc   :   6.391723   8.272462  15.329429
angles:  81.405117  81.190335  73.041722
pbc   :       True       True       True
Sites (20)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Br    0.137032  0.726671  0.774859
  1  Li    0.771767  0.744091  0.676441
  2  Tl    0.837458  0.237863  0.14467
  3  Li    0.337774  0.2987    0.567842
  4  Br    0.363677  0.611379  0.541836
  5  Pd    0.573174  0.894733  0.231773
  6  Br    0.905024  0.419419  0.686343
  7  Pd    0.726386  0.42481   0.509003
  8  Cs    0.521635  0.960405  0.907175
  9  Br    0.084403  0.259233  0.454182
 10  Pd    0.065389  0.813792  0.936948
 11  Pd    0.023182  0.445267  0.830375
 12  Br    0.100699  0.49562   0.978848
 13  Rb    0.066278  0.664215  0.347275
 14  Br    0.380806  0.143338  0.131004
 15  Br    0.001639  0.844035  0.100524
 16  Br    0.558392  0.04021   0.657061
 17  Br    0.668763  0.054051  0.338418
 18  Br    0.611213  0.589552  0.26537
 19  Br    0.962479  0.153152  0.904143","CsRbLi2TlPd4Br11","('Br', 'Cs', 'Li', 'Pd', 'Rb', 'Tl')","0.5979231961542961","0","# generated using pymatgen
data_CsRbLi2TlPd4Br11
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.39172304
_cell_length_b   8.27246167
_cell_length_c   15.32942867
_cell_angle_alpha   81.40511722
_cell_angle_beta   81.19033540
_cell_angle_gamma   73.04172158
_symmetry_Int_Tables_number   1
_chemical_formula_structural   CsRbLi2TlPd4Br11
_chemical_formula_sum   'Cs1 Rb1 Li2 Tl1 Pd4 Br11'
_cell_volume   761.43511961
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Br  Br0  1  0.13703176  0.72667128  0.77485925  1
  Li  Li1  1  0.77176678  0.74409127  0.67644066  1
  Tl  Tl2  1  0.83745837  0.23786314  0.14467041  1
  Li  Li3  1  0.33777416  0.29869992  0.56784177  1
  Br  Br4  1  0.36367685  0.61137885  0.54183555  1
  Pd  Pd5  1  0.57317436  0.89473325  0.23177296  1
  Br  Br6  1  0.90502429  0.41941890  0.68634260  1
  Pd  Pd7  1  0.72638649  0.42480966  0.50900275  1
  Cs  Cs8  1  0.52163494  0.96040493  0.90717542  1
  Br  Br9  1  0.08440289  0.25923339  0.45418188  1
  Pd  Pd10  1  0.06538852  0.81379175  0.93694788  1
  Pd  Pd11  1  0.02318194  0.44526693  0.83037531  1
  Br  Br12  1  0.10069921  0.49561974  0.97884804  1
  Rb  Rb13  1  0.06627843  0.66421515  0.34727496  1
  Br  Br14  1  0.38080579  0.14333779  0.13100392  1
  Br  Br15  1  0.00163865  0.84403455  0.10052431  1
  Br  Br16  1  0.55839157  0.04020971  0.65706098  1
  Br  Br17  1  0.66876328  0.05405138  0.33841756  1
  Br  Br18  1  0.61121267  0.58955210  0.26536968  1
  Br  Br19  1  0.96247929  0.15315193  0.90414327  1
"
"Full Formula (Y4 Tm8 Sc3)
Reduced Formula: Y4Tm8Sc3
abc   :   6.101660   8.668611   9.276721
angles:  85.500465  70.803510  76.420172
pbc   :       True       True       True
Sites (15)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Y     0.80355   0.673383  0.098115
  1  Tm    0.000114  0.674702  0.698211
  2  Y     0.845306  0.331301  0.898605
  3  Tm    0.597793  0.672389  0.499426
  4  Y     0.443026  0.335268  0.698995
  5  Tm    0.423278  0.004671  0.297595
  6  Tm    0.199808  0.670614  0.298345
  7  Tm    0.648286  0.336515  0.298074
  8  Y     0.400874  0.677249  0.898792
  9  Tm    0.046231  0.337572  0.498956
 10  Tm    0.246542  0.333698  0.099162
 11  Sc    0.622761  0.003971  0.898957
 12  Sc    0.220634  0.003376  0.700327
 13  Sc    0.026766  0.005031  0.097499
 14  Tm    0.822511  0.003501  0.500751","Y4Tm8Sc3","('Sc', 'Tm', 'Y')","0.9350961570859369","0","# generated using pymatgen
data_Y4Tm8Sc3
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.10165989
_cell_length_b   8.66861125
_cell_length_c   9.27672100
_cell_angle_alpha   85.50046529
_cell_angle_beta   70.80350954
_cell_angle_gamma   76.42017234
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Y4Tm8Sc3
_chemical_formula_sum   'Y4 Tm8 Sc3'
_cell_volume   450.43465383
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Y  Y0  1  0.80355012  0.67338330  0.09811457  1
  Tm  Tm1  1  0.00011357  0.67470199  0.69821125  1
  Y  Y2  1  0.84530556  0.33130097  0.89860457  1
  Tm  Tm3  1  0.59779304  0.67238891  0.49942625  1
  Y  Y4  1  0.44302583  0.33526769  0.69899476  1
  Tm  Tm5  1  0.42327771  0.00467149  0.29759523  1
  Tm  Tm6  1  0.19980752  0.67061418  0.29834470  1
  Tm  Tm7  1  0.64828604  0.33651531  0.29807425  1
  Y  Y8  1  0.40087399  0.67724878  0.89879239  1
  Tm  Tm9  1  0.04623130  0.33757162  0.49895564  1
  Tm  Tm10  1  0.24654150  0.33369794  0.09916155  1
  Sc  Sc11  1  0.62276089  0.00397073  0.89895666  1
  Sc  Sc12  1  0.22063430  0.00337582  0.70032686  1
  Sc  Sc13  1  0.02676580  0.00503147  0.09749901  1
  Tm  Tm14  1  0.82251072  0.00350124  0.50075144  1
"
"Full Formula (Ca5 Ta1 N6)
Reduced Formula: Ca5TaN6
abc   :   5.964703   5.924290   5.972953
angles: 100.326455 119.896199  99.955926
pbc   :       True       True       True
Sites (12)
  #  SP           a         b         c
---  ----  --------  --------  --------
  0  Ca    0.222589  0.05907   0.938314
  1  Ca    0.728157  0.559433  0.432872
  2  Ca    0.389318  0.5594    0.771425
  3  N     0.962047  0.285869  0.634137
  4  N     0.10335   0.84199   0.487123
  5  Ca    0.554184  0.058701  0.605157
  6  N     0.672667  0.276576  0.05561
  7  N     0.814657  0.833346  0.910147
  8  N     0.525939  0.832558  0.197096
  9  N     0.252155  0.286222  0.347484
 10  Ta    0.887891  0.058766  0.27181
 11  Ca    0.04905   0.559196  0.109698","Ca5TaN6","('Ca', 'N', 'Ta')","0.637433158011067","0","# generated using pymatgen
data_Ca5TaN6
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.96470317
_cell_length_b   5.92429043
_cell_length_c   5.97295332
_cell_angle_alpha   100.32645529
_cell_angle_beta   119.89619903
_cell_angle_gamma   99.95592580
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ca5TaN6
_chemical_formula_sum   'Ca5 Ta1 N6'
_cell_volume   171.29364623
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ca  Ca0  1  0.22258934  0.05906956  0.93831402  1
  Ca  Ca1  1  0.72815663  0.55943340  0.43287235  1
  Ca  Ca2  1  0.38931772  0.55939955  0.77142453  1
  N  N3  1  0.96204650  0.28586945  0.63413739  1
  N  N4  1  0.10335039  0.84199023  0.48712251  1
  Ca  Ca5  1  0.55418360  0.05870117  0.60515749  1
  N  N6  1  0.67266715  0.27657649  0.05561045  1
  N  N7  1  0.81465715  0.83334649  0.91014749  1
  N  N8  1  0.52593857  0.83255786  0.19709584  1
  N  N9  1  0.25215486  0.28622168  0.34748441  1
  Ta  Ta10  1  0.88789064  0.05876577  0.27180961  1
  Ca  Ca11  1  0.04905027  0.55919600  0.10969838  1
"
